Item Name,Cuisine,Course,Nutritional Profile,Preparation Method,Spiciness Level,Vegan/Vegetarian/Contains-Egg/Non-Veg,Allergens,Flavor Profile,Dietary Restrictions
Lauki Ka Salan Recipe - Bottle Gourd Salan Recipe,Indian,Main,"Vitamin Rich, Fiber Rich",Curried,Spicy,Vegetarian,None,"Spicy, Tangy",Vegan
Togari Bell Thove Recipe - Tour Dal Juice,Indian,Side,"Protein Rich, Fiber Rich",Stewed,Mild,Vegetarian,None,"Mild, Nutty",Vegan
Chicken Shawarma Recipe,Middle Eastern,Main,Protein Rich,"Grilled, Assembled",Spicy,Non-Veg,None,"Spicy, Aromatic",None
Mushroom Paratha Recipe,Indian,Bread,"Protein Rich, Fiber Rich",Pan-Fried,Mild,Vegetarian,None,"Savory, Mushroomy",Vegetarian
Palak Chana Dal Recipe - Healthy Spinach Gram Dal Recipe,Indian,Main,"Protein Rich, Iron Rich","Curried, Stewed",Spicy,Vegetarian,None,"Spicy, Nutty",Vegan
Pasi Paruppu Kosumalli Recipe (Spiced Lentil Salad Recipe),Indian,Salad,"Protein Rich, Fiber Rich","Boiled, Mixed",Spicy,Vegetarian,None,"Spicy, Tangy",Vegan
Maharashtrian Style Semolina and Yogurt Cake Recipe,Indian,Dessert,"Calcium Rich, Protein Rich",Baked,Sweet,Vegetarian,Dairy,"Sweet, Creamy",Vegetarian
Ragi Masala Roti Recipe,Indian,Bread,"Fiber Rich, Protein Rich",Grilled,Mild,Vegetarian,None,"Nutty, Spicy",Vegan
Dry Sweet Potato Thoran Recipe,Indian,Side,"Vitamin Rich, Fiber Rich",Stir-Fried,Mild,Vegetarian,None,"Sweet, Mild",Vegan
Oreo Milkshake Recipe,Western,Beverage,"Calcium Rich, Carbohydrate Rich",Blended,Sweet,Vegetarian,Dairy,"Sweet, Creamy",Vegetarian
Mexican Grilled Corn Flavoured With Cheesy Garlic Mayo Recipe,Mexican,Appetizer,Calcium Rich,"Grilled, Topped",Spicy,Vegetarian,Dairy,"Cheesy, Spicy",Vegetarian
Paneer Matar Butter Masala (Indian Cottage Cheese and Peas Masala With Butter) Recipe,Indian,Main,"Protein Rich, Calcium Rich",Curried,Mild,Vegetarian,Dairy,"Creamy, Mild",Vegetarian
Dhugare Baingan Recipe - Dhungare Baingan Recipe,Indian,Side,Vitamin Rich,Smoked,Mild,Vegetarian,None,"Smoky, Aromatic",Vegan
Rajasthani Style Dried Gatta Capsicum Vegetable Recipe,Indian,Main,"Vitamin Rich, Protein Rich","Curried, Stir-Fried",Spicy,Vegetarian,None,"Spicy, Tangy",Vegan
Indo Chinese Crispy Chicken Chilli Recipe,Fusion,Main,Protein Rich,"Fried, Stir-Fried",Spicy,Non-Veg,None,"Spicy, Crunchy",None
And fish soup recipe - Bengali fish curry,Indian,Main,Protein Rich,Stewed,Spicy,Non-Veg,Fish,"Spicy, Aromatic",None
Stem Lettuce Tamarind Broth Recipe - Surri left behind by Amarnath Greens,Indian,Soup,"Vitamin Rich, Fiber Rich","Simmered, Stewed",Tangy,Vegan,None,"Tangy, Refreshing",Vegan
Crispy Masala Peanuts Recipe - Gujarati Sing Bhujia,Indian,Snack,Protein Rich,Deep-Fried,Spicy,Vegetarian,None,"Spicy, Crunchy",Vegan
Maa Ki Dal (Recipe),Indian,Main,Protein Rich,Stewed,Mild,Vegetarian,None,"Mild, Nutty",Vegan
Palak Mushroom Makhani Recipe - Creamy Spinach & Mushroom,Indian,Main,"Protein Rich, Calcium Rich","Curried, Creamed",Mild,Vegetarian,Dairy,"Creamy, Mild",Vegetarian
Dahi Bhalla Papdi Chaat Recipe,Indian,Snack,"Protein Rich, Calcium Rich",Assembled,Spicy,Vegetarian,Dairy,"Tangy, Spicy",Vegetarian
Wheat Grass Shikanji - Wheat Grass Lemonade Recipe,Indian,Beverage,"Vitamin Rich, Antioxidant Rich","Mixed, Served Cold",Tangy,Vegetarian,None,"Tangy, Refreshing",Vegetarian
Chole Masala Recipe - Dry Masala Chickpeas (Recipe),Indian,Main,"Protein Rich, Fiber Rich",Curried,Spicy,Vegetarian,None,"Spicy, Aromatic",Vegan
Rajasthani Kachri Chutney Recipe - Rajasthani Kachri Ki Chutney Recipe,Indian,Side,"Vitamin Rich, Fiber Rich",Blended,Spicy,Vegetarian,None,"Spicy, Tangy",Vegan
Fasting Potato Paneer Recipe - Potato Paneer Curry Without Onion And Garlic Recipe,Indian,Main,"Protein Rich, Calcium Rich","Curried, Stewed",Mild,Vegetarian,Dairy,"Mild, Creamy",Vegetarian
Katachi Amti (Recipe In Hindi),Indian,Main,"Protein Rich, Fiber Rich",Stewed,Spicy,Vegetarian,None,"Spicy, Tangy",Vegan
Khara Obbattu Recipe (Bread Stuffed With Spicy Potato Mixture Recipe),Indian,Main,"Protein Rich, Fiber Rich","Grilled, Stuffed",Spicy,Vegetarian,None,"Spicy, Aromatic",Vegan
Cauliflower Matar Bhurji (Recipe in Hindi),Indian,Main,"Protein Rich, Vitamin Rich",Stir-Fried,Spicy,Vegetarian,None,"Spicy, Aromatic",Vegan
Kashmiri Style Paneer Masala Recipe,Indian,Main,"Protein Rich, Calcium Rich","Curried, Creamed",Mild,Vegetarian,Dairy,"Creamy, Mild",Vegetarian
Aromatic Vegetable Pulao Recipe,Indian,Main,"Vitamin Rich, Fiber Rich","Steamed, Spiced",Mild,Vegan,None,"Aromatic, Mild",Vegan
Spicy Curd Recipe - Spicy Curd With Onions,Indian,Side,"Probiotic, Calcium Rich",Mixed,Spicy,Vegetarian,Dairy,"Tangy, Spicy",Vegetarian
Mustard Vegetable Curry Recipe,Indian,Main,"Vitamin Rich, Fiber Rich","Curried, Stewed",Spicy,Vegetarian,None,"Spicy, Aromatic",Vegan
One Pot Spicy Vegetable Pulao Recipe with Coconut Milk,Indian,Main,"Vitamin Rich, Fiber Rich","Steamed, Cooked",Spicy,Vegan,None,"Spicy, Creamy",Vegan
Bengali Aloo Dum Recipe - Bengali Aloo Dum Recipe,Indian,Main,"Vitamin Rich, Fiber Rich","Curried, Stewed",Spicy,Vegetarian,None,"Spicy, Aromatic",Vegan
Hyderabad Soy Biryani Recipe With Vegetables & Palak,Indian,Main,"Protein Rich, Fiber Rich","Cooked, Layered",Spicy,Vegan,"Soy, Gluten","Spicy, Aromatic",Vegan
North Indian Feni Recipe - Sevaiyan Kheer,Indian,Dessert,"Calcium Rich, Sweet","Boiled, Simmered",Mild,Vegetarian,"Dairy, Nuts","Sweet, Creamy",Vegetarian
South Indian Papad Curry Recipe - Appalam Vathal Kuzhambu (Recipe),Indian,Main,"Fiber Rich, Tangy","Cooked, Stewed",Spicy,Vegetarian,None,"Tangy, Spicy",Vegan
Moong Dal Khichdi Recipe For Babies And Toddlers Over 10 Months,Indian,Main,"Protein Rich, Fiber Rich","Boiled, Stewed",Mild,Vegetarian,None,"Mild, Nutty",Vegan
Dahi Wale Aloo Recipe (Indian Yogurt-based Potato Curry),Indian,Main,"Protein Rich, Calcium Rich","Curried, Stewed",Mild,Vegetarian,Dairy,"Creamy, Mild",Vegetarian
Vegetable Fried Brown Rice Recipe,Asian,Main,"Fiber Rich, Vitamin Rich",Stir-Fried,Mild,Vegan,None,"Savory, Aromatic",Vegan
Eggless Devil's Food Cake Recipe,Western,Dessert,"Sweet, Chocolatey",Baked,None,Vegetarian,Dairy,"Sweet, Rich",Vegetarian
Bengali Langcha Recipe With Mawa,Indian,Dessert,"Sweet, Rich","Fried, Soaked",None,Vegetarian,Dairy,"Sweet, Creamy",Vegetarian
Kovakkai Podi Curry Recipe - Tamil Nadu Style Ivy Gourd Stir Fry,Indian,Main,"Fiber Rich, Tangy",Stir-Fried,Spicy,Vegan,None,"Spicy, Tangy",Vegan
Biryani Masala Powder Recipe - Biryani Masala Powder Recipe,Indian,Spice,"Aromatic, Spicy",Ground,Spicy,Vegan,None,"Aromatic, Spicy",Vegan
"Chicken Sausages, Baked Beans and Stir Fried Broccoli Recipe",Western,Main,Protein Rich,"Baked, Stir-Fried",Spicy,Non-Veg,None,"Spicy, Savory",None
Crispy Chicken Dumplings Recipe,Asian,Appetizer,Protein Rich,Deep-Fried,Spicy,Non-Veg,None,"Spicy, Crunchy",None
Turkish Chicken Gozleme Recipe-Stuffed Spinach Chicken Bread,Turkish,Main,Protein Rich,"Grilled, Stuffed",Spicy,Non-Veg,None,"Spicy, Savory",None
Moon Biscuits Recipe (Moon Shaped Baked Cookies),Western,Snack,"Sweet, Crunchy",Baked,None,Vegetarian,"Dairy, Gluten","Sweet, Buttery",Vegetarian
Andaman Style Steamed Garlic Prawns Recipe,Indian,Main,Protein Rich,Steamed,Spicy,Non-Veg,Shellfish,"Spicy, Aromatic",None
